{'hit_rate': 0.015989001602044264, 'average_difference': 0.028526231423832118, 'median_difference': 0.019525042036548257, 'total_predictions': 13755, 'hits': 213}
Epoch: 029, Loss: 0.0079, Validation MSE: 0.0083, Test MSE: 0.0090
{'hit_rate': 0.012950771584392727, 'average_difference': 0.025720192100303553, 'median_difference': 0.016899920534342527, 'total_predictions': 13755, 'hits': 172}
Epoch: 030, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.013080246480682692, 'average_difference': 0.02582637118373936, 'median_difference': 0.013592183357104659, 'total_predictions': 13755, 'hits': 174}
Epoch: 031, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.01458053660641168, 'average_difference': 0.027217860067921304, 'median_difference': 0.015644969884306192, 'total_predictions': 13755, 'hits': 194}
Epoch: 032, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.015063910002511597, 'average_difference': 0.02768591194524231, 'median_difference': 0.015914596617221832, 'total_predictions': 13755, 'hits': 200}
Epoch: 033, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.014495741149286223, 'average_difference': 0.02715790546590863, 'median_difference': 0.015382992685772479, 'total_predictions': 13755, 'hits': 193}
Epoch: 034, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.013513622020965555, 'average_difference': 0.02623700208273977, 'median_difference': 0.015184228890575469, 'total_predictions': 13755, 'hits': 180}
Epoch: 035, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013094383616926223, 'average_difference': 0.02583872976740907, 'median_difference': 0.013358513358980417, 'total_predictions': 13755, 'hits': 174}
Epoch: 036, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013579710139369318, 'average_difference': 0.026292648800488556, 'median_difference': 0.013508560718037188, 'total_predictions': 13755, 'hits': 181}
Epoch: 037, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.014463160885029339, 'average_difference': 0.027097488341548272, 'median_difference': 0.015249790390953422, 'total_predictions': 13755, 'hits': 192}
Epoch: 038, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.01490281314007899, 'average_difference': 0.027506420390225373, 'median_difference': 0.015526319155469537, 'total_predictions': 13755, 'hits': 198}
Epoch: 039, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01445352791734874, 'average_difference': 0.02708874188764309, 'median_difference': 0.014138326980173588, 'total_predictions': 13755, 'hits': 192}
Epoch: 040, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01351693957507601, 'average_difference': 0.026222833169129878, 'median_difference': 0.013236369122751057, 'total_predictions': 13755, 'hits': 180}
Epoch: 041, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.01303421165629197, 'average_difference': 0.025783926988651514, 'median_difference': 0.014207761734724045, 'total_predictions': 13755, 'hits': 173}
Epoch: 042, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.01352934203782075, 'average_difference': 0.026240309375560614, 'median_difference': 0.015294424491003156, 'total_predictions': 13755, 'hits': 180}
Epoch: 043, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.014544338266136698, 'average_difference': 0.02718140623957029, 'median_difference': 0.01635129121132195, 'total_predictions': 13755, 'hits': 193}
Epoch: 044, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.015120374239765973, 'average_difference': 0.027706992360963942, 'median_difference': 0.016581772593781352, 'total_predictions': 13755, 'hits': 201}
Epoch: 045, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014653515525536247, 'average_difference': 0.0272768708346631, 'median_difference': 0.01530694356188178, 'total_predictions': 13755, 'hits': 195}
Epoch: 046, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013566248102170808, 'average_difference': 0.02626970982890582, 'median_difference': 0.013392066437518224, 'total_predictions': 13755, 'hits': 180}
Epoch: 047, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.012925798433644567, 'average_difference': 0.02567953087532936, 'median_difference': 0.01195036440185504, 'total_predictions': 13755, 'hits': 172}
Epoch: 048, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.013347278663182928, 'average_difference': 0.026067602096746977, 'median_difference': 0.012365853996016085, 'total_predictions': 13755, 'hits': 177}
Epoch: 049, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014232882988871766, 'average_difference': 0.02688395769839341, 'median_difference': 0.012993685202673078, 'total_predictions': 13755, 'hits': 189}
Epoch: 050, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014537374346621978, 'average_difference': 0.027169556428180957, 'median_difference': 0.013870181719539687, 'total_predictions': 13755, 'hits': 193}
Epoch: 051, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01401398673362453, 'average_difference': 0.02668645843118626, 'median_difference': 0.013949637883342803, 'total_predictions': 13755, 'hits': 186}
Epoch: 052, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013388956873268309, 'average_difference': 0.026108922109722092, 'median_difference': 0.013632840476930141, 'total_predictions': 13755, 'hits': 178}
Epoch: 053, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0090
{'hit_rate': 0.013466182957522374, 'average_difference': 0.02617899001378564, 'median_difference': 0.014106218353845179, 'total_predictions': 13755, 'hits': 179}
Epoch: 054, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01417196290474567, 'average_difference': 0.02683368343222028, 'median_difference': 0.014920777874067426, 'total_predictions': 13755, 'hits': 189}
Epoch: 055, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014540981054098585, 'average_difference': 0.027175969758772057, 'median_difference': 0.015223582973703742, 'total_predictions': 13755, 'hits': 193}
Epoch: 056, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014237664549924213, 'average_difference': 0.026894691629745532, 'median_difference': 0.014782313257455826, 'total_predictions': 13755, 'hits': 189}
Epoch: 057, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013731757509697361, 'average_difference': 0.02642354434764298, 'median_difference': 0.014023186406120658, 'total_predictions': 13755, 'hits': 183}
Epoch: 058, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013605248478654127, 'average_difference': 0.026310980014532054, 'median_difference': 0.01356872043106705, 'total_predictions': 13755, 'hits': 181}
Epoch: 059, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013939151915971223, 'average_difference': 0.02661029693693856, 'median_difference': 0.014068704040255398, 'total_predictions': 13755, 'hits': 185}
Epoch: 060, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014162118938855632, 'average_difference': 0.02681899977584476, 'median_difference': 0.014118665916612372, 'total_predictions': 13755, 'hits': 188}
Epoch: 061, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013929225723300635, 'average_difference': 0.026603967946323987, 'median_difference': 0.013725578581215814, 'total_predictions': 13755, 'hits': 185}
Epoch: 062, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013584118459674334, 'average_difference': 0.026280856693724073, 'median_difference': 0.013425765908323228, 'total_predictions': 13755, 'hits': 181}
Epoch: 063, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01363082872538784, 'average_difference': 0.026328122428045837, 'median_difference': 0.013678465445991606, 'total_predictions': 13755, 'hits': 181}
Epoch: 064, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014004583189931728, 'average_difference': 0.026675388702356216, 'median_difference': 0.014224585087504238, 'total_predictions': 13755, 'hits': 186}
Epoch: 065, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014184027544099177, 'average_difference': 0.026843987996037547, 'median_difference': 0.014264737299527042, 'total_predictions': 13755, 'hits': 189}
Epoch: 066, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013990170717681091, 'average_difference': 0.026666270682092534, 'median_difference': 0.014168184832669795, 'total_predictions': 13755, 'hits': 186}
Epoch: 067, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
