CVE-2025-0001,0.00104
CVE-2025-0014,0.00012
CVE-2025-0015,0.0002
CVE-2025-0050,0.00017
CVE-2025-0053,0.00051
CVE-2025-0054,0.00036
CVE-2025-0055,0.00017
CVE-2025-0056,0.00017
CVE-2025-0057,0.00034
CVE-2025-0058,0.00038
CVE-2025-0059,0.00017
CVE-2025-0060,0.00045
CVE-2025-0061,0.00075
CVE-2025-0062,0.00039
CVE-2025-0063,0.00078
CVE-2025-0064,0.00041
CVE-2025-0065,0.00105
CVE-2025-0066,0.00057
CVE-2025-0067,0.00046
CVE-2025-0068,0.00034
CVE-2025-0069,0.0002
CVE-2025-0070,0.00104
CVE-2025-0071,0.0004
CVE-2025-0101,0.00044
CVE-2025-0103,0.00045
CVE-2025-0104,0.00064
CVE-2025-0105,0.002
CVE-2025-0106,0.0008
CVE-2025-0107,0.2724
CVE-2025-0108,0.93762
CVE-2025-0109,0.00165
CVE-2025-0110,0.00903
CVE-2025-0111,0.05618
CVE-2025-0112,0.00018
CVE-2025-0113,0.00032
CVE-2025-0114,0.00043
CVE-2025-0115,0.00026
CVE-2025-0116,0.00028
CVE-2025-0117,0.0002
CVE-2025-0118,0.00099
CVE-2025-0119,0.00464
CVE-2025-0120,0.00017
CVE-2025-0121,0.00016
CVE-2025-0122,0.00018
CVE-2025-0123,9e-05
CVE-2025-0124,0.00082
CVE-2025-0125,0.00057
CVE-2025-0126,0.00054
CVE-2025-0127,0.00178
CVE-2025-0128,0.00026
CVE-2025-0129,0.00054
CVE-2025-0142,0.00017
CVE-2025-0143,0.00054
CVE-2025-0144,0.00039
CVE-2025-0145,0.00015
CVE-2025-0146,0.00015
CVE-2025-0147,0.00074
CVE-2025-0148,0.00017
CVE-2025-0149,0.00025
CVE-2025-0150,0.00044
CVE-2025-0151,0.0005
CVE-2025-0154,0.00048
CVE-2025-0158,0.00019
CVE-2025-0159,0.002
CVE-2025-0160,0.00144
CVE-2025-0161,0.00025
CVE-2025-0162,0.00136
CVE-2025-0167,0.00066
CVE-2025-0168,0.0004
CVE-2025-0169,0.00019
CVE-2025-0170,0.00095
CVE-2025-0171,0.00052
CVE-2025-0172,0.00052
CVE-2025-0173,0.00049
CVE-2025-0174,0.00052
CVE-2025-0175,0.00059
CVE-2025-0176,0.00049
CVE-2025-0177,0.00094
CVE-2025-0178,0.00117
CVE-2025-0180,0.00073
CVE-2025-0181,0.00135
CVE-2025-0182,0.00059
CVE-2025-0183,0.00032
CVE-2025-0184,0.00035
CVE-2025-0185,0.00271
CVE-2025-0187,0.00091
CVE-2025-0188,0.00039
CVE-2025-0189,0.00057
CVE-2025-0190,0.00057
CVE-2025-0191,0.00046
CVE-2025-0192,0.00032
CVE-2025-0193,0.00058
CVE-2025-0194,0.00018
CVE-2025-0195,0.00049
CVE-2025-0196,0.00052
CVE-2025-0197,0.00049
CVE-2025-0198,0.00049
CVE-2025-0199,0.00052
CVE-2025-0200,0.00052
CVE-2025-0201,0.00052
CVE-2025-0202,0.00034
CVE-2025-0203,0.00086
CVE-2025-0204,0.00086
CVE-2025-0205,0.00088
CVE-2025-0206,0.00078
CVE-2025-0207,0.0006
CVE-2025-0208,0.00064
CVE-2025-0210,0.00062
CVE-2025-0211,0.00123
CVE-2025-0212,0.00088
CVE-2025-0213,0.00106
CVE-2025-0214,0.00061
CVE-2025-0215,0.00189
CVE-2025-0218,0.0002
CVE-2025-0219,0.00065
CVE-2025-0220,0.00069
CVE-2025-0221,0.00027
CVE-2025-0222,0.00027
CVE-2025-0223,0.00027
CVE-2025-0224,0.0007
CVE-2025-0225,0.00082
CVE-2025-0226,0.00055
CVE-2025-0227,0.00055
CVE-2025-0228,0.00077
CVE-2025-0229,0.00062
CVE-2025-0230,0.00062
CVE-2025-0231,0.00064
CVE-2025-0232,0.00084
CVE-2025-0233,0.00086
CVE-2025-0234,0.00058
CVE-2025-0235,0.00058
CVE-2025-0236,0.00058
CVE-2025-0237,0.00074
CVE-2025-0238,0.00166
CVE-2025-0239,0.00041
CVE-2025-0240,0.00032
CVE-2025-0241,0.00134
CVE-2025-0242,0.00155
CVE-2025-0243,0.00038
CVE-2025-0244,0.00064
CVE-2025-0245,0.0005
CVE-2025-0246,0.00046
CVE-2025-0247,0.00129
CVE-2025-0254,0.00031
CVE-2025-0255,0.00177
CVE-2025-0256,0.00036
CVE-2025-0257,0.00084
CVE-2025-0272,0.00037
CVE-2025-0273,0.00016
CVE-2025-0278,0.00035
CVE-2025-0279,0.00035
CVE-2025-0281,0.00033
CVE-2025-0282,0.92861
CVE-2025-0283,0.0008
CVE-2025-0285,0.00056
CVE-2025-0286,0.00088
CVE-2025-0287,0.00081
CVE-2025-0288,0.00056
CVE-2025-0289,0.00056
CVE-2025-0290,0.00021
CVE-2025-0291,0.00395
CVE-2025-0294,0.0005
CVE-2025-0295,0.00055
CVE-2025-0296,0.0004
CVE-2025-0297,0.0005
CVE-2025-0298,0.00045
CVE-2025-0299,0.00045
CVE-2025-0300,0.0005
CVE-2025-0301,0.00041
CVE-2025-0302,0.00017
CVE-2025-0303,0.0002
CVE-2025-0304,0.00019
CVE-2025-0306,0.00089
CVE-2025-0308,0.00181
CVE-2025-0311,0.0007
CVE-2025-0312,0.0006
CVE-2025-0313,0.00055
CVE-2025-0314,0.0005
CVE-2025-0315,0.0006
CVE-2025-0316,0.00329
CVE-2025-0317,0.0006
CVE-2025-0318,0.00046
CVE-2025-0321,0.00037
CVE-2025-0327,0.00018
CVE-2025-0328,0.0741
CVE-2025-0330,0.00045
CVE-2025-0331,0.00049
CVE-2025-0332,0.00049
CVE-2025-0333,0.00047
